,ward,diagnosis,Gross_Amount,# of Patient
55,Airbase Ward,Gout - unspecified,5829.6,1
56,Airbase Ward,Headache,5973.280000000001,2
57,Airbase Ward,Hereditary and idiopathic neuropathy,6926.88,1
58,Airbase Ward,Hypertensive heart disease,19535.0,5
59,Airbase Ward,Infections of genitourinary tract in pregnancy,10864.49,1
60,Airbase Ward,Inflammatory polyneuropathy,4561.6,1
61,Airbase Ward,Injury of liver or gallbladder - Injury of intra-abdominal organs,2485.27,1
62,Airbase Ward,Irregular menstruation - unspecified,6971.84,1
63,Airbase Ward,Irritable bowel syndrome,7576.53,1
64,Airbase Ward,Lumbago with sciatica - Dorsalgia,23187.48,5
65,Airbase Ward,Malignant neoplasm of liver and intrahepatic bile ducts,1001.0,1
66,Airbase Ward,Migraine,4087.84,1
67,Airbase Ward,Nausea and vomiting,4554.24,1
68,Airbase Ward,Need for immunization against combinations of infectious diseases,15720.48,5
69,Airbase Ward,Neuralgia and neuritis - unspecified,5558.4,1
70,Airbase Ward,Nonsuppurative otitis media,6801.6,1
71,Airbase Ward,Obstetric pyaemic and septic embolism - Obstetric embolism,500.0,1
72,Airbase Ward,Open wound of ankle and foot,3145.92,1
73,Airbase Ward,Other abnormal uterine and vaginal bleeding,17876.8,3
74,Airbase Ward,Other acute gastritis - Gastritis and duodenitis,4825.5,1
75,Airbase Ward,Other anxiety disorders,2803.27,1
76,Airbase Ward,Other chest pain - Pain in throat and chest,3175.2,1
77,Airbase Ward,Other disorders of urinary system,2298.08,1
78,Airbase Ward,Other noninfective gastroenteritis and colitis,4824.96,1
79,Airbase Ward,Other specified diabetes mellitus,2798.72,1
80,Airbase Ward,Other specified pregnancy-related conditions - Maternal care for other conditions predominantly related to pregnancy,1929.59,1
81,Airbase Ward,Other streptococcal sepsis - Streptococcal sepsis,726.0,1
82,Airbase Ward,Otitis externa,1876.84,1
83,Airbase Ward,Pulpitis - Diseases of pulp and periapical tissues,22172.8,2
84,Airbase Ward,Sciatica - Dorsalgia,3264.0,1
85,Airbase Ward,Simple schizophrenia - Schizophrenia,2017.0,1
86,Airbase Ward,Supervision of high-risk pregnancy,4899.9,2
87,Airbase Ward,Supervision of normal pregnancy,4016.0,1
88,Airbase Ward,Tinea corporis - Dermatophytosis,14751.28,3
89,Airbase Ward,Type 2 diabetes mellitus,18118.37,5
90,Airbase Ward,Unspecified diabetes mellitus,21409.96,3
91,Airbase Ward,Urinary tract infection - site not specified,5076.64,1
92,Babandogo,Abdominal and pelvic pain,5394.88,1
93,Babandogo,Abdominal rigidity - Other symptoms and signs involving the digestive system and abdomen,3731.04,1
94,Babandogo,Acute bronchitis due to streptococcus - Acute bronchitis,3704.8,1
95,Babandogo,Acute conjunctivitis - unspecified,3128.0,1
96,Babandogo,Acute laryngitis - Acute laryngitis and tracheitis,20134.88,5
97,Babandogo,Acute laryngitis and tracheitis,2833.44,1
98,Babandogo,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,6576.44,2
99,Babandogo,Acute lymphadenitis,2456.0,1
100,Babandogo,Acute nasopharyngitis [common cold],131875.25,27
101,Babandogo,Acute pharyngitis,52920.53,11
102,Babandogo,Acute tonsillitis,120405.07,28
103,Babandogo,Acute tonsillitis - unspecified,23829.73,5
104,Babandogo,Acute tonsillitis due to other specified organisms - Acute tonsillitis,3696.0,1
105,Babandogo,Acute upper respiratory infection - unspecified,84843.34999999999,20
106,Babandogo,Acute upper respiratory infections of multiple and unspecified sites,8486.880000000001,2
107,Babandogo,Alcoholic gastritis - Gastritis and duodenitis,15059.43,2
108,Babandogo,Allergic contact dermatitis,28316.480000000003,5
109,Babandogo,Allergic rhinitis - unspecified,51147.02,7
110,Babandogo,Amoebiasis,7922.4,3
111,Babandogo,Amoebiasis - unspecified,4996.16,1
112,Babandogo,Antenatal screening,2960.0,1
113,Babandogo,Antifungal antibiotics - systemically used,10784.64,1
114,Babandogo,Asthma,16636.24,3
115,Babandogo,Asthma - unspecified,2638.56,1
116,Babandogo,Atopic dermatitis,7930.56,1
117,Babandogo,Bacterial pneumonia - not elsewhere classified,9079.2,1
118,Babandogo,Bacterial pneumonia - unspecified,501.0,1
119,Babandogo,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,1000.0,1
120,Babandogo,Bitten by rat,3188.36,1
121,Babandogo,Candidiasis of vulva and vagina - Candidiasis,5422.47,1
122,Babandogo,Chronic nasopharyngitis - Chronic rhinitis,6511.360000000001,3
123,Babandogo,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,3481.96,1
124,Babandogo,Chronic rhinitis,7382.52,3
125,Babandogo,Contraceptive management,5923.32,1
126,Babandogo,Cough,5962.56,1
127,Babandogo,Cutaneous abscess - furuncle and carbuncle,3078.78,1
128,Babandogo,Dental caries,114171.8,21
129,Babandogo,Dental caries - unspecified,4419.0,1
130,Babandogo,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,18979.2,3
131,Babandogo,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,9508.79,1
132,Babandogo,Essential (primary) hypertension,58354.22,13
133,Babandogo,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,3141.44,2
134,Babandogo,Foreign body entering into or through eye or natural orifice,4214.4,2
135,Babandogo,Functional dyspepsia,41974.75,4
136,Babandogo,Gastritis - unspecified,61248.78,12
137,Babandogo,Gastritis and duodenitis,16566.219999999998,3
138,Babandogo,Gastro-oesophageal reflux disease,7644.0,1
139,Babandogo,Gastroenteritis and colitis due to radiation - Other noninfective gastroenteritis and colitis,246.4,1
140,Babandogo,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,7214.6,1
141,Babandogo,General examination and investigation of persons without complaint and reported diagnosis,5306.0,1
142,Babandogo,Gout,7083.84,1
143,Babandogo,Gout - unspecified,8838.880000000001,2
144,Babandogo,Headache,9195.439999999999,3
145,Babandogo,Hereditary and idiopathic neuropathy,7814.32,1
146,Babandogo,Hypertensive heart disease,49320.770000000004,11
147,Babandogo,Impacted cerumen - Other disorders of external ear,2224.0,1
148,Babandogo,Impetigo,5152.0,1
149,Babandogo,Infections of bladder in pregnancy - Infections of genitourinary tract in pregnancy,1624.4,1
150,Babandogo,Injury of ovary - Injury of urinary and pelvic organs,4017.0,1
151,Babandogo,Iron deficiency - Deficiency of other nutrient elements,3681.27,1
152,Babandogo,Juvenile arthritis,4704.0,1
153,Babandogo,Lumbago with sciatica - Dorsalgia,48021.56,6
154,Babandogo,Malignant neoplasm: Peripheral nerves of lower limb - including hip,4632.0,1
155,Babandogo,Migraine,3548.0,1
156,Babandogo,Multiple open wounds - unspecified,638.4,1
157,Babandogo,Need for immunization against combinations of infectious diseases,2540.0,2
158,Babandogo,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,10821.34,2
159,Babandogo,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue - Neoplasm of uncertain or unknown behaviour of other and unspecified sites,5721.52,2
160,Babandogo,Neuralgia and neuritis - unspecified,7730.0,1
161,Babandogo,Other abnormal uterine and vaginal bleeding,5203.72,2
162,Babandogo,Other arthritis,4921.08,1
163,Babandogo,Other mononeuropathies,1001.0,1
164,Babandogo,Other rheumatoid arthritis,1451.36,1
165,Babandogo,Other secondary hypertension - Secondary hypertension,12310.88,1
166,Babandogo,Other specified diabetes mellitus,16884.64,3
167,Babandogo,Other specified urinary incontinence - Other disorders of urinary system,1612.0,1
168,Babandogo,Other urethritis - Urethritis and urethral syndrome,4300.64,1
169,Babandogo,Pneumonia in mycoses - Pneumonia in diseases classified elsewhere,1461.44,1
170,Babandogo,Pulpitis - Diseases of pulp and periapical tissues,9581.92,1
171,Babandogo,Recurrent oral aphthae - Stomatitis and related lesions,4956.08,1
172,Babandogo,Sciatica - Dorsalgia,17363.71,2
173,Babandogo,Streptococcal tonsillitis - Acute tonsillitis,11599.4,2
174,Babandogo,Stroke - not specified as haemorrhage or infarction,2992.41,1
175,Babandogo,Supervision of high-risk pregnancy,8157.120000000001,3
176,Babandogo,Supervision of normal pregnancy,1000.0,1
177,Babandogo,Supervision of other high-risk pregnancies - Supervision of high-risk pregnancy,5368.0,1
178,Babandogo,Tinea corporis - Dermatophytosis,7064.0,2
179,Babandogo,Tinea unguium - Dermatophytosis,6821.8,1
180,Babandogo,Type 2 diabetes mellitus,30268.04,4
181,Babandogo,Unspecified acute lower respiratory infection,4332.16,1
182,Babandogo,Unspecified diabetes mellitus,112505.20999999999,7
183,Babandogo,Urinary tract infection - site not specified,7794.83,1
184,California Ward,Abdominal and pelvic pain,3006.4,3
185,California Ward,Abscess of external ear - Otitis externa,8013.48,1
186,California Ward,Acne conglobata - Acne,6145.28,1
187,California Ward,Acute conjunctivitis - unspecified,10512.32,1
188,California Ward,Acute laryngitis - Acute laryngitis and tracheitis,24634.75,3
189,California Ward,Acute laryngitis and tracheitis,5210.08,1
190,California Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,15910.779999999999,5
191,California Ward,Acute nasopharyngitis [common cold],156166.45,31
192,California Ward,Acute pharyngitis,147738.37,25
193,California Ward,Acute sinusitis,3386.72,1
194,California Ward,Acute sinusitis - unspecified,4991.68,1
195,California Ward,Acute tonsillitis,96561.81,22
196,California Ward,Acute tonsillitis - unspecified,8899.2,3
197,California Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,11926.65,2
198,California Ward,Acute upper respiratory infection - unspecified,53711.41,11
199,California Ward,Acute upper respiratory infections of multiple and unspecified sites,2086.9,1
200,California Ward,Acute vaginitis - Other inflammation of vagina and vulva,5439.12,2
201,California Ward,Allergic contact dermatitis,15916.04,2
202,California Ward,Allergic rhinitis - unspecified,17893.32,5
203,California Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,2568.0,1
204,California Ward,Anaemia - unspecified,12223.68,1
205,California Ward,Antenatal screening,5360.52,1
206,California Ward,Atopic dermatitis,11143.76,3
207,California Ward,Bacterial pneumonia - unspecified,9102.72,3
208,California Ward,Bronchopneumonia - unspecified,1561.0,1
209,California Ward,Calculus of lower urinary tract,9913.27,3
210,California Ward,Cellulitis,4595.3,1
211,California Ward,Cellulitis - unspecified,2857.0,1
212,California Ward,Cervical disc disorders,2160.48,1
213,California Ward,Chronic gastritis - unspecified,22525.84,3
214,California Ward,Chronic nasopharyngitis - Chronic rhinitis,8058.4,2
215,California Ward,Chronic obstructive pulmonary disease with acute lower respiratory infection - Other chronic obstructive pulmonary disease,6471.2,1
216,California Ward,Chronic rhinitis,6344.48,2
217,California Ward,Chronic rhinitis - nasopharyngitis and pharyngitis,7276.48,1
218,California Ward,Chronic serous otitis media - Nonsuppurative otitis media,3400.16,1
219,California Ward,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,4051.16,2
220,California Ward,Crushing injury of head,10672.88,2
221,California Ward,Cutaneous abscess - furuncle and carbuncle,5448.639999999999,2
222,California Ward,Dental caries,70635.03,15
223,California Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,2000.0,1
224,California Ward,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - unspecified,11274.88,3
225,California Ward,Disorder of breast - unspecified,5325.72,1
226,California Ward,Disorder of external ear - unspecified,2989.12,1
227,California Ward,Essential (primary) hypertension,47129.97,10
228,California Ward,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,7997.32,2
229,California Ward,Female pelvic inflammatory disorders in diseases classified elsewhere,3542.81,1
230,California Ward,Fever - unspecified,2953.28,1
231,California Ward,Fever of other and unknown origin,6904.08,2
232,California Ward,Foreign body entering into or through eye or natural orifice,3701.44,1
233,California Ward,Functional dyspepsia,12721.2,2
234,California Ward,Gastric ulcer,7412.48,1
235,California Ward,Gastritis - unspecified,63271.020000000004,12
236,California Ward,Gastritis and duodenitis,28630.3,7
237,California Ward,Gastro-oesophageal reflux disease,3986.0,1
238,California Ward,Gastroenteritis and colitis due to radiation - Other noninfective gastroenteritis and colitis,1939.68,1
239,California Ward,Gastroenteritis and colitis of unspecified origin - Other gastroenteritis and colitis of infectious and unspecified origin,4151.68,1
240,California Ward,General examination and investigation of persons without complaint and reported diagnosis,2792.66,1
241,California Ward,Gout,2000.0,1
242,California Ward,Headache,10405.44,3
243,California Ward,Hyperplasia of prostate,3668.85,1
244,California Ward,Hypertensive heart disease,23318.269999999997,6
245,California Ward,Hypoparathyroidism,3741.76,1
246,California Ward,Iron deficiency - Deficiency of other nutrient elements,2000.0,1
247,California Ward,Iron deficiency anaemia,3498.72,1
248,California Ward,Lumbago with sciatica - Dorsalgia,21575.42,6
249,California Ward,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,7567.360000000001,2
250,California Ward,Malignant neoplasm: Connective and soft tissue - unspecified,3291.0,1
251,California Ward,Migraine,2293.6,1
252,California Ward,Mumps,1707.08,1
253,California Ward,Nausea and vomiting,2293.88,1
254,California Ward,Need for immunization against combinations of infectious diseases,1000.0,1
255,California Ward,Obstetric pyaemic and septic embolism - Obstetric embolism,17482.3,1
256,California Ward,Other acute gastritis - Gastritis and duodenitis,4487.72,1
257,California Ward,Other chest pain - Pain in throat and chest,2804.32,1
258,California Ward,Other iron deficiency anaemias - Iron deficiency anaemia,7988.8,1
259,California Ward,Other rheumatoid arthritis,4293.8,1
260,California Ward,Other specified diseases of upper respiratory tract - Other diseases of upper respiratory tract,2628.47,1
261,California Ward,Other specified fever - Fever of other and unknown origin,3316.76,1
262,California Ward,Other specified mononeuropathies - Other mononeuropathies,6118.4,1
263,California Ward,Other urethritis - Urethritis and urethral syndrome,2842.0,1
264,California Ward,Pityriasis versicolor - Other superficial mycoses,2245.44,1
265,California Ward,Rash and other nonspecific skin eruption,800.0,1
266,California Ward,Recurrent oral aphthae - Stomatitis and related lesions,1855.05,1
267,California Ward,Routine general health check-up of defined subpopulation,4480.96,1
268,California Ward,Sciatica - Dorsalgia,11081.6,2
269,California Ward,Supervision of high-risk pregnancy,19270.92,4
270,California Ward,Supervision of normal pregnancy,8170.4,1
271,California Ward,Tinea corporis - Dermatophytosis,23355.010000000002,5
272,California Ward,Tinea pedis - Dermatophytosis,3787.56,1
273,California Ward,Type 2 diabetes mellitus,15430.16,2
274,California Ward,Unspecified diabetes mellitus,45515.3,7
275,California Ward,Unspecified infection of urinary tract in pregnancy - Infections of genitourinary tract in pregnancy,1182.4,1
276,California Ward,Unspecified soft tissue disorder related to use - overuse and pressure,4618.72,1
277,California Ward,Urinary tract infection - site not specified,1901.6,1
278,Clay City,Abdominal and pelvic pain,29727.08,5
279,Clay City,Abdominal rigidity - Other symptoms and signs involving the digestive system and abdomen,10.0,1
280,Clay City,Abscess of vulva - Other inflammation of vagina and vulva,7000.0,1
281,Clay City,Acute atopic conjunctivitis - Conjunctivitis,10413.6,1
282,Clay City,Acute laryngitis - Acute laryngitis and tracheitis,17447.04,3
283,Clay City,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,18799.68,3
284,Clay City,Acute nasopharyngitis [common cold],270076.48,35
285,Clay City,Acute pain - Pain,5891.04,1
286,Clay City,Acute pharyngitis,58995.54,12
287,Clay City,Acute sinusitis,3366.88,1
288,Clay City,Acute tonsillitis,105500.06999999999,21
289,Clay City,Acute tonsillitis - unspecified,7423.04,2
290,Clay City,Acute tonsillitis due to other specified organisms - Acute tonsillitis,12369.740000000002,2
291,Clay City,Acute upper respiratory infection - unspecified,24277.61,9
292,Clay City,Acute upper respiratory infections of multiple and unspecified sites,5798.08,1
293,Clay City,Acute vaginitis - Other inflammation of vagina and vulva,7561.92,2
294,Clay City,Adverse effects - not elsewhere classified,4628.8,1
295,Clay City,Allergic contact dermatitis,6503.74,2
296,Clay City,Allergic rhinitis - unspecified,14789.96,4
297,Clay City,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,638.4,1
298,Clay City,Amoebiasis,6496.639999999999,2
299,Clay City,Anaemia - unspecified,2085.76,1
300,Clay City,Anomalies of dental arch relationship - Dentofacial anomalies [including malocclusion],3914.24,1
301,Clay City,Antifungal antibiotics - systemically used,6922.56,1
302,Clay City,Asthma,4595.4,2
303,Clay City,Atopic dermatitis,6505.219999999999,2
304,Clay City,Atrophy of breast - Other disorders of breast,4116.8,1
305,Clay City,Bacterial pneumonia - not elsewhere classified,8707.84,1
306,Clay City,Benign lipomatous neoplasm,3115.68,1
307,Clay City,Calculus of lower urinary tract,18900.82,4
308,Clay City,Candidiasis of vulva and vagina - Candidiasis,11030.88,1
309,Clay City,Chronic gastritis - unspecified,16528.23,5
310,Clay City,Chronic mucoid otitis media - Nonsuppurative otitis media,1353.92,1
311,Clay City,Chronic nasopharyngitis - Chronic rhinitis,9986.720000000001,2
312,Clay City,Chronic rhinitis,3598.4,1
313,Clay City,Chronic tonsillitis - Chronic diseases of tonsils and adenoids,3431.52,1
314,Clay City,Conjunctivitis,3398.2,1
315,Clay City,Contraceptive management,2118.76,1
316,Clay City,Cough,14342.4,4
317,Clay City,Cramp and spasm - Abnormal involuntary movements,4014.6,1
318,Clay City,Crushing injuries involving multiple body regions,12381.52,3
319,Clay City,Cutaneous abscess - furuncle and carbuncle,6349.48,1
320,Clay City,Dental caries,81695.54000000001,13
321,Clay City,Dental caries - unspecified,33747.95,5
322,Clay City,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus - non-insulin-dependent,12682.66,2
323,Clay City,Dislocation of knee - Dislocation,583.4,1
324,Clay City,Disorders of tooth development and eruption,8586.439999999999,2
325,Clay City,Eczema herpeticum - Herpesviral [herpes simplex] infections,9746.439999999999,2
326,Clay City,Essential (primary) hypertension,55381.92,12
327,Clay City,Examination for period of rapid growth in childhood - General examination and investigation of persons without complaint and reported diagnosis,7553.12,1
328,Clay City,Fracture of shoulder and upper arm,6218.3,1
329,Clay City,Functional dyspepsia,33027.12,8
330,Clay City,Gastritis - unspecified,112420.88,20
331,Clay City,Gastritis and duodenitis,47398.43,9
332,Clay City,Gastroduodenitis - unspecified,6011.68,2
333,Clay City,General examination and investigation of persons without complaint and reported diagnosis,3016.0,1
334,Clay City,General medical examination - General examination and investigation of persons without complaint and reported diagnosis,1600.0,1
335,Clay City,Gout,4643.16,1
336,Clay City,Headache,6005.0,3
337,Clay City,Heart disease - unspecified,1985.6,1
338,Clay City,Hereditary and idiopathic neuropathy,500.0,1
339,Clay City,Hypertensive heart disease,38265.979999999996,8
340,Clay City,Infections of genitourinary tract in pregnancy,4289.9,1
341,Clay City,Inflammatory polyneuropathy,3661.12,1
342,Clay City,Iron deficiency - Deficiency of other nutrient elements,6862.08,1
343,Clay City,Iron deficiency anaemia,7313.32,1
344,Clay City,Lumbago with sciatica - Dorsalgia,50322.79,12
345,Clay City,Malignant neoplasm of other and ill-defined sites: Abdomen - Malignant neoplasm of other and ill-defined sites,2368.48,1
346,Clay City,Malignant neoplasm: Connective and soft tissue - unspecified,9215.2,1
347,Clay City,Malignant neoplasm: Tonsil - unspecified,3279.2,1
348,Clay City,Multiple open wounds of ankle and foot - Open wound of ankle and foot,4657.0,1
349,Clay City,Need for immunization against combinations of infectious diseases,12044.52,2
350,Clay City,Need for immunization against other combinations of infectious diseases - Need for immunization against combinations of infectious diseases,5695.54,1
351,Clay City,Nonpurulent mastitis associated with childbirth - Infections of breast associated with childbirth,8332.8,1
352,Clay City,Orchitis and epididymitis,6209.3,1
353,Clay City,Other abnormal uterine and vaginal bleeding,2544.0,1
354,Clay City,Other acute gastritis - Gastritis and duodenitis,2994.88,1
355,Clay City,Other allergic rhinitis - Vasomotor and allergic rhinitis,803.04,1
356,Clay City,Other rheumatoid arthritis,15052.16,1
357,Clay City,Other secondary hypertension - Secondary hypertension,11814.88,1
358,Clay City,Other specified diabetes mellitus,20972.58,3
359,Clay City,Other specified mononeuropathies - Other mononeuropathies,5961.84,1
360,Clay City,Other urethritis - Urethritis and urethral syndrome,8325.64,2
361,Clay City,Otitis externa,3717.12,1
362,Clay City,Pulpitis - Diseases of pulp and periapical tissues,2422.56,1
363,Clay City,Recurrent oral aphthae - Stomatitis and related lesions,6216.96,1
364,Clay City,Sciatica - Dorsalgia,5000.0,2
365,Clay City,Supervision of high-risk pregnancy,8327.279999999999,2
366,Clay City,Supervision of normal pregnancy,12958.84,2
367,Clay City,Tinea corporis - Dermatophytosis,10537.64,4
368,Clay City,Trichomoniasis,2787.52,1
369,Clay City,Type 2 diabetes mellitus,17089.190000000002,5
370,Clay City,Unspecified acute lower respiratory infection,3626.04,1
371,Clay City,Unspecified diabetes mellitus,13339.689999999999,3
372,Clay City,Urinary tract infection - site not specified,9941.0,1
373,Clay City,Viral warts,2787.52,1
374,Dandora Area I Ward,Abdominal and pelvic pain,9264.8,2
375,Dandora Area I Ward,Abscess - furuncle and carbuncle of nose,3169.08,1
376,Dandora Area I Ward,Acne vulgaris - Acne,3350.08,1
377,Dandora Area I Ward,Acute laryngitis - Acute laryngitis and tracheitis,6321.12,1
378,Dandora Area I Ward,Acute laryngopharyngitis - Acute upper respiratory infections of multiple and unspecified sites,4497.76,1
379,Dandora Area I Ward,Acute nasopharyngitis [common cold],166432.12,37
380,Dandora Area I Ward,Acute pain - Pain,3552.0,1
381,Dandora Area I Ward,Acute periodontitis - Gingivitis and periodontal diseases,3077.6,1
382,Dandora Area I Ward,Acute pharyngitis,59647.24,17
383,Dandora Area I Ward,Acute pharyngitis - unspecified,9337.12,2
384,Dandora Area I Ward,Acute sinusitis,1646.4,1
385,Dandora Area I Ward,Acute suppurative otitis media - Suppurative and unspecified otitis media,5894.14,1
386,Dandora Area I Ward,Acute tonsillitis,103386.40000000001,21
387,Dandora Area I Ward,Acute tonsillitis - unspecified,7619.2,1
388,Dandora Area I Ward,Acute tonsillitis due to other specified organisms - Acute tonsillitis,4581.0,1
389,Dandora Area I Ward,Acute upper respiratory infection - unspecified,78637.38,13
390,Dandora Area I Ward,Acute upper respiratory infections of multiple and unspecified sites,4830.4,1
391,Dandora Area I Ward,Adenoviral pneumonia - Viral pneumonia,7466.24,1
392,Dandora Area I Ward,Alcoholic gastritis - Gastritis and duodenitis,3918.56,2
393,Dandora Area I Ward,Allergic contact dermatitis,31486.22,6
394,Dandora Area I Ward,Allergic rhinitis - unspecified,34035.2,9
395,Dandora Area I Ward,Allergic rhinitis due to pollen - Vasomotor and allergic rhinitis,8853.68,2
396,Dandora Area I Ward,Amoebiasis,26516.04,6
397,Dandora Area I Ward,Anaemia - unspecified,532.0,1
398,Dandora Area I Ward,Antenatal screening,13227.7,3
399,Dandora Area I Ward,Arthritis - unspecified,9784.01,2
400,Dandora Area I Ward,Asthma,9618.84,3
401,Dandora Area I Ward,Asthma - unspecified,6602.799999999999,2
402,Dandora Area I Ward,Atopic dermatitis,10944.48,3
403,Dandora Area I Ward,Bacterial pneumonia - not elsewhere classified,12373.92,2
404,Dandora Area I Ward,Bacterial pneumonia - unspecified,11671.67,1
405,Dandora Area I Ward,Bronchopneumonia - unspecified,2016.0,1
406,Dandora Area I Ward,Calculus of lower urinary tract,13392.36,3
407,Dandora Area I Ward,Candidiasis,8684.8,1
408,Dandora Area I Ward,Chronic mucoid otitis media - Nonsuppurative otitis media,1290.34,1
409,Dandora Area I Ward,Chronic nasopharyngitis - Chronic rhinitis,27826.29,7
410,Dandora Area I Ward,Chronic rhinitis,6334.24,2
411,Dandora Area I Ward,Congenital hiatus hernia - Other congenital malformations of upper alimentary tract,4628.8,1
412,Dandora Area I Ward,Cough,17015.22,5
413,Dandora Area I Ward,Cutaneous abscess - furuncle and carbuncle,5767.4,1
414,Dandora Area I Ward,Cutaneous abscess - furuncle and carbuncle of other sites,5031.0,1
415,Dandora Area I Ward,Dental caries,71794.29000000001,15
416,Dandora Area I Ward,Dental caries - unspecified,15272.36,5
